"key"	"de-DE"	"en-US"	"es-ES"	"fr-FR"	"it-IT"	"ja-JP"	"ko-KR"	"pl-PL"	"pt-BR"	"ru-RU"	"zh-HANS"	"zh-HANT"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.ResetModSettings]"	"Nach Bestätigung wird dies die Einstellungen für die Anarchy Mod zurücksetzen."	"Upon confirmation this will reset the settings for Anarchy mod."	"Al confirmar se restablecerán todos los ajustes iniciales de Anarchy."	"Après confirmation, cela réinitialisera les paramètres du mod Anarchy."	"Dopo la conferma ripristinerà le impostazioni per la Anarchy mod."	"Upon confirmation this will reset the settings for Anarchy mod."	"확인 후 Anarchy 모드에 대한 설정이 재설정됩니다."	"Po potwierdzeniu spowoduje to zresetowanie ustawień moda Anarchy."	"Após a confirmação, isso irá redefinir as configurações do mod Anarquia."	"Upon confirmation this will reset the settings for Anarchy mod."	"确认后，将会重置无碰撞模组的设置。"	"Upon confirmation this will reset the settings for Anarchy mod."	""
"Options.WARNING[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.ResetModSettings]"	"Anarchy Einstellungen zurücksetzen?"	"Reset Anarchy Settings?"	"¿Restablecer todos los ajustes?"	"Réinitialiser les paramètres d'Anarchy ?"	"Ripristinare Le Impostazioni Anarchy?"	"Reset Anarchy Settings?"	"Anarchy 설정을 초기화 하시겠습니까?"	"Na pewno chcesz zresetować ustawienia Anarchy?"	"Redefinir Configurações de Anarquia?"	"Reset Anarchy Settings?"	"是否重置无碰撞模组的设置？"	"Reset Anarchy Settings?"	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.PreventAccidentalPropCulling]"	"Unbeabsichtigtes verschwinden von Requisiten vermeiden"	"Prevent Accidental Prop Culling"	"Prevenir la eliminación accidental de decoraciones"	"Empêcher la suppression accidentelle de Props"	"Previene La Rimozione Accidentale degli Elementi"	"Prevent Accidental Prop Culling"	"실수로 소품 삭제 방지"	"Zapobiegaj przypadkowemu ukrywaniu rekwizytów"	"Prevenir a eliminação acidental de Props"	"Prevent Accidental Prop Culling"	"防止摆件和植被意外消失"	"Prevent Accidental Prop Culling"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.PreventAccidentalPropCulling]"	"Dies löst regelmäßig eine grafische Aktualisierung der Requisiten aus, die mit Anarchy platziert wurden, um unbeabsichtigtes Verschwinden von Requisiten die auf anderen Requisiten platziert wurden zu verhindern. Dies wirkt sich auf die Leistung aus."	"This will routinely trigger a graphical refresh to props placed with Anarchy that have been culled to prevent accidental culling of props. This affects performance."	"Esto activará rutinariamente una actualización gráfica para las decoraciones colocadas con ""Anarchy"" que hayan sido eliminadas para prevenir la eliminación accidental de decoraciones. Esto afecta el rendimiento."	"Cela déclenchera régulièrement une actualisation graphique pour les props placés avec Anarchy qui ont été effacés afin d'éviter la suppression accidentelle des props. Cela affecte les performances."	"Attiverà una routine di aggiornamento grafico per gli elementi piazzati con Anarchy che sono stati rimossi per evitare l'eliminazione accidentale degli elementi. Influisce sulle prestazioni."	"This will routinely trigger a graphical refresh to props placed with Anarchy that have been culled to prevent accidental culling of props. This affects performance."	"Anarchy 플러그인으로 배치된 소품 중 일부가 실수로 삭제되는 것을 방지하기 위해 정기적으로 그래픽 갱신을 트리거합니다. 이 과정은 성능에 영향을 미칠 수 있습니다."	"Ta opcja spowoduje rutynowe odświeżenie graficzne rekwizytów umieszczonych za pomocą Anarchii, aby zapobiec przypadkowemu ukryciu rekwizytów umieszczonych na innych rekwizytach. Wpływa na wydajność."	"Isto irá disparar uma atualização gráfica rotineiramente para as Props colocadas com Anarquia, de modo a evitar a eliminação dos Props acidentalmente. Isso afeta o desempenho."	"This will routinely trigger a graphical refresh to props placed with Anarchy that have been culled to prevent accidental culling of props. This affects performance."	"此功能会定时刷新使用无碰撞功能放置的摆件和植被，以防止其意外消失。注意，此功能会影响性能（摆件与植被越多，性能影响越大）。"	"This will routinely trigger a graphical refresh to props placed with Anarchy that have been culled to prevent accidental culling of props. This affects performance."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.PropRefreshFrequency]"	"Requisiten Aktualisierungsfrequenz"	"Prop Refresh Frequency"	"Frecuencia de actualización de decoraciones"	"Fréquence de rafraîchissement des props"	"Frequenza Di Aggiornamento Elementi"	"Prop Refresh Frequency"	"소품 새로 고침 빈도"	"Częstotliwość odświeżania rekwizytów"	"Frequência de atualização Prop"	"Prop Refresh Frequency"	"摆件刷新频率"	"Prop Refresh Frequency"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.PropRefreshFrequency]"	"Dies ist die Anzahl der Frames zwischen grafischen Aktualisierungen der Requisiten, die bei Anarchie platziert wurden, um zufällige Keulungen zu verhindern. Höhere Raten werden eine bessere Leistung haben, aber eine längere mögliche Zeit in der die Requisiten fehlen."	"This is the number of frames between graphical refreshes to props placed with Anarchy to prevent accidental culling. Higher numbers will have better performance, but longer possible time that props may be missing."	"Esto es el número de fotogramas entre actualizaciones gráficas para las decoraciones colocadas con ""Anarchy"" para prevenir la eliminación accidental. Números más altos tendrán mejor rendimiento, pero un tiempo posible más largo en el que las decoraciones podrían estar ausentes."	"Il s'agit du nombre d'images entre chaque actualisation graphique des props placées avec Anarchy afin d'éviter toute suppression accidentelle. Des nombres plus élevés équivaudront à de meilleures performances, mais une possible plus longue durée d'absence des props."	"This is the number of frames between graphical refreshes to props placed with Anarchy to prevent accidental culling. Higher numbers will have better performance, but longer possible time that props may be missing."	"This is the number of frames between graphical refreshes to props placed with Anarchy to prevent accidental culling. Higher numbers will have better performance, but longer possible time that props may be missing."	"Anarchy 플러그인으로 배치된 소품의 그래픽 갱신 간격을 프레임 수로 지정한 값입니다. 이 값은 실수로 소품이 삭제되는 것을 방지하기 위한 목적으로 사용됩니다.
값이 높을수록 성능은 향상되지만 소품이 실제로 존재하는데도 화면에 표시되지 않는 시간이 길어질 수 있습니다."	"Ta opcja zmienia liczbę klatek pomiędzy odświeżeniami graficznymi rekwizytów umieszczonych za pomocą Anarchii, aby zapobiec przypadkowemu ukryciu. Im więcej, tym lepsza wydajność, ale powoduje dłuższy czas, w którym może brakować rekwizytów."	"Este é o número de quadros entre atualizações gráficas para props colocadas com Anarquia para evitar a eliminação acidental. Números mais altos terão melhor desempenho, mas um tempo mais longo as props podem estar faltando."	"This is the number of frames between graphical refreshes to props placed with Anarchy to prevent accidental culling. Higher numbers will have better performance, but longer possible time that props may be missing."	"这指定了无政府放置的道具的图形刷新之间的剔除，以防止意外掉帧。数字越高，性能越好，但道具可能丢失的时间长度也会增加。"	"This is the number of frames between graphical refreshes to props placed with Anarchy to prevent accidental culling. Higher numbers will have better performance, but longer possible time that props may be missing."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.RefreshProps]"	"Requisitenaktualisierung"	"Refresh Props"	"Refrescar decoraciones"	"Actualiser les Props"	"Refresh Props"	"Refresh Props"	"소품 새로 고침"	"Odśwież rekwizyty"	"Atualizar Props"	"Refresh Props"	"手动刷新摆件"	"Refresh Props"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.RefreshProps]"	"Falls Requisiten die mit Anarchy platziert wurden versehentlich wegen Überlappung mit anderen Requisiten verschwinden, können sie diese Schaltfläche drücken, um sie jetzt wieder zurückzuholen."	"If props placed with Anarchy have been accidently culled, you can press this button to bring them back now. This doesn't negatively effect performance."	"Si las decoraciones colocadas con ""Anarchy"" han sido accidentalmente eliminadas, puedes presionar este botón para restablecerlas. Esto no afecta el rendimiento."	"Si des props placés avec Anarchy ont été accidentellement effacées, vous pouvez appuyer sur ce bouton pour les rétablir. Cela n'affecte pas les performances négativement."	"If props placed with Anarchy have been accidently culled, you can press this button to bring them back now. This doesn't negatively effect performance."	"If props placed with Anarchy have been accidently culled, you can press this button to bring them back now. This doesn't negatively effect performance."	"Anarchy 플러그인으로 배치된 소품이 실수로 삭제되었을 경우 이 버튼을 누르면 복구할 수 있습니다. 이 기능은 성능에 부정적인 영향을 미치지 않습니다."	"Jeśli rekwizyty umieszczone za pomocą Anarchii zostały przypadkowo ukryte, możesz nacisnąć ten przycisk, aby je teraz przywrócić. Nie wpływa negatywnie na wydajność."	"Se as ""props"" colocadas com Anarquia foram acidentalmente eliminadas, você pode pressionar este botão para trazê-las agora. Isso não afeta negativamente o desempenho."	"If props placed with Anarchy have been accidently culled, you can press this button to bring them back now. This doesn't negatively effect performance."	"如果无政府放置的道具被意外掉帧，您可以按此按钮将它们恢复。这不会对性能产生负面影响。"	"If props placed with Anarchy have been accidently culled, you can press this button to bring them back now. This doesn't negatively effect performance."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.AllowPlacingMultipleUniqueBuildings]"	"Erlaube die Platzierung mehrerer einzigartiger Gebäude"	"Allow Placing Multiple Unique Buildings"	"Colocar múltiples edificios únicos"	"Autoriser le placement de plusieurs bâtiments uniques"	"Allow Placing Multiple Unique Buildings"	"Allow Placing Multiple Unique Buildings"	"여러 개의 고유 건물 배치 허용"	"Zezwalaj na wielokrotne umieszczanie charakterystycznych budynków"	"Permitir Colocar Múltiplos Edifícios Únicos"	"Allow Placing Multiple Unique Buildings"	"允许重复放置标志性建筑物"	"Allow Placing Multiple Unique Buildings"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.AllowPlacingMultipleUniqueBuildings]"	"Dadurch kann man mehrere Kopien von einzigartigen Gebäuden mit dem normalen UI-Menü mit oder ohne Anarchie platzieren. Die Auswirkungen dieser Gebäude stapeln!"	"This allows you to place multiple copies of unique buildings using the normal UI menu with or without Anarchy enabled. The effects of these buildings stack!"	"Esto permite colocar varias copias de edificios únicos usando el menú normal de la interfaz de usuario con o sin ""Anarchy"" habilitada. ¡Los efectos de estos edificios se acumulan!"	"Cela vous permet de placer plusieurs copies de bâtiments uniques en utilisant le menu normal de l'interface utilisateur avec ou sans Anarchy activé. Les effets de ces bâtiments se cumulent !"	"This allows you to place multiple copies of unique buildings using the normal UI menu with or without Anarchy enabled. The effects of these buildings stack!"	"This allows you to place multiple copies of unique buildings using the normal UI menu with or without Anarchy enabled. The effects of these buildings stack!"	"이 기능은 일반 UI 메뉴를 통해 Anarchy 기능 사용 여부와 상관없이 여러 개의 고유 건물 복제를 배치할 수 있게 해줍니다. 더욱이, 이 건물들의 효과는 서로 누적됩니다!"	"Ta opcja pozwala na umieszczenie wielu kopii charakterystycznych budynków przy użyciu normalnego interfejsu użytkownika z włączoną lub wyłączoną Anarchią. Efekty tych budynków kumulują się!"	"Isso permite que você coloque várias cópias de edifícios únicos usando o menu UI normal com ou sem a Anarquia ativada. Os efeitos destes edifícios acumulam!"	"This allows you to place multiple copies of unique buildings using the normal UI menu with or without Anarchy enabled. The effects of these buildings stack!"	"无论是否启用无碰撞功能，此选项允许您重复放置标志性建筑物。注意：这些标志性建筑物的效果会叠加！"	"This allows you to place multiple copies of unique buildings using the normal UI menu with or without Anarchy enabled. The effects of these buildings stack!"	""
"YY_ANARCHY.Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchia"	"Anarquia"	"Anarchy"	"无碰撞"	"Anarchy"	""
"YY_ANARCHY.AnarchyButton"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchia"	"Anarquia"	"Anarchy"	"无碰撞"	"Anarchy"	""
"YY_ANARCHY_DESCRIPTION.AnarchyButton"	"Deaktiviert Fehlerüberprüfungen auf Werkzeuge und zeigt keine Fehler an. Wenn anwendbar, können Sie Vegetation und Requisiten (mit DevUI 'Add Object' Menü) überlappen, oder innerhalb der Grenzen anderer Objekte platzieren und zusammen schließen."	"Disables error checks for tools and does not display errors. When applicable, you can place vegetation and props (with DevUI 'Add Object' menu) overlapping or inside the boundaries of other objects and close together."	"Deshabilita las comprobaciones de errores de herramientas y no muestra errores. Cuando sea aplicable, puede colocar vegetación y decoraciones (con menú DevUI 'Añadir objeto') unos encimas de otros, dentro de los límites de otros objetos y bien cercanos."	"Désactive la vérification des erreurs des outils et n'affiche pas les erreurs. Le cas échéant, vous pouvez placer de la végétation et des props (avec le menu du DevUI 'Ajouter un objet') se chevauchant ou à l'intérieur des limites d'autres objets et proches les uns des autres."	"Disables error checks for tools and does not display errors. When applicable, you can place vegetation and props (with DevUI 'Add Object' menu) overlapping or inside the boundaries of other objects and close together."	"Disables error checks for tools and does not display errors. When applicable, you can place vegetation and props (with DevUI 'Add Object' menu) overlapping or inside the boundaries of other objects and close together."	"도구에 대한 오류 검사를 비활성화하고 오류를 표시하지 않습니다. 해당되는 경우 식생과 소품(DevUI '객체 추가' 메뉴 포함) 을 다른 개체의 경계와 겹치거나 안쪽에 배치하고 함께 닫을 수 있습니다."	"Wyłącza sprawdzanie kolizji narzędzi i nie wyświetla błędów kolizji. Gdy aktywne, możesz umieścić roślinność i rekwizyty (za pomocą menu DevUI „Dodaj obiekt”) na siebie lub wewnątrz granic innych obiektów i blisko siebie."	"Desativa as verificações de erros de ferramentas e não exibe erros. Quando aplicável, você pode colocar vegetação e props (com menu DevUI 'Adicionar Objeto') sobrepondo ou dentro dos limites de outros objetos e próximos uns dos outros."	"Disables error checks for tools and does not display errors. When applicable, you can place vegetation and props (with DevUI 'Add Object' menu) overlapping or inside the boundaries of other objects and close together."	"禁用物体重叠检查，打开无碰撞功能。启用该功能后，您可以将植被和摆件（摆件需要使用 DevUI“添加物体”菜单查找）重叠放置或放置在建筑、道路的边界内或者将它们紧靠在一起。"	"Disables error checks for tools and does not display errors. When applicable, you can place vegetation and props (with DevUI 'Add Object' menu) overlapping or inside the boundaries of other objects and close together."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.MinimumClearanceBelowElevatedNetworks]"	"Mindestabstand unter erhöhten Netzwerken"	"Minimum Clearance Below Elevated Networks"	"Altura mínima debajo de redes elevadas"	"Hauteur minimum en dessous des réseaux surélevés"	"Minimum Clearance Below Elevated Networks"	"Minimum Clearance Below Elevated Networks"	"고가 네트워크 아래 최소 여유 공간"	"Minimalny prześwit pod sieciami podwyższonymi"	"Espaço mínimo abaixo das Redes Elevadas"	"Minimum Clearance Below Elevated Networks"	"高架网络（道路、电线等）下方的最小拆除高度"	"Minimum Clearance Below Elevated Networks"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.MinimumClearanceBelowElevatedNetworks]"	"Mit dem Netzwerkzeug und Anarchy aktiviert kann man den Mindestabstand zwischen anderen Netzwerken ignorieren. Wenn man unter niedrigen Brücken Zonen platziert können Gebäude spawnen. Diese Einstellung gibt ihnen etwas Kontrolle über den Mindestabstand einer niedrigen Brücke und dem Boden. Am besten sollten Sie jegliche Zonen darunter entfernen."	"With the net tool and Anarchy enabled you can violate the clearance of other networks. Zoning under low bridges can spawn buildings while doing this. This setting gives you some control over the minimum space below a low bridge. It would be better to just remove the zoning."	"Con la herramienta de carreteras y ""Anarchy"" habilitado, puedes omitir la distancia de separación de otras redes. Al agregar zonas debajo de los puentes bajos, se podrían generar edificios mientras haces esto. Este ajuste provee control sobre el espacio mínimo debajo de un puente. Sería mejor eliminar la zonificación."	"Avec l'outil réseaux et Anarchy activé, vous pouvez outrepasser l'espace minimale avec d'autres réseaux. En faisant cela, le zoning sous de bas ponts peut faire apparaître des bâtiments. Ce paramètre vous donne un peu de contrôle sur l'espace minimum sous un bas pont. Il serait préférable de simplement supprimer le zonage."	"With the net tool and Anarchy enabled you can violate the clearance of other networks. Zoning under low bridges can spawn buildings while doing this. This setting gives you some control over the minimum space below a low bridge. It would be better to just remove the zoning."	"With the net tool and Anarchy enabled you can violate the clearance of other networks. Zoning under low bridges can spawn buildings while doing this. This setting gives you some control over the minimum space below a low bridge. It would be better to just remove the zoning."	"Anarchy 기능이 활성화된 상태에서 네트워크 도구를 사용하면 다른 네트워크의 최소 여유 공간을 위반할 수 있습니다. 낮은 다리 지름 아래 구역 지정을 하면 이러한 위반 상태에서 건물이 생성될 수도 있습니다. 이 설정은 낮은 다리 지름 아래 최소 공간을 어느 정도 제어할 수 있게 해줍니다. 하지만 구역 지정을 완전히 제거하는 것이 더 좋은 방법일 수 있습니다."	"Po włączeniu narzędzia budowy dróg i Anarchii możesz zignorować minimalny prześwit pomiędzy sieciami. Jeśli umieścisz strefy pod niskimi wiaduktami, budynki mogą się pojawiać. To ustawienie zapewnia pewną kontrolę nad minimalnym prześwitem pomiędzy niskim wiaduktem a podłożem. Najlepiej usunąć wszelkie strefy znajdujące się pod spodem."	"Quando a ferramenta de Anarquia está habilitada a criação automática de áreas de construção será afetada, podendo gerar resultados indesejados, como por exemplo, áreas de construção abaixo de pontes. Essa configuração dá a você controle sobre o espaço mínimo abaixo de uma ponte. Recomendamos verificar as áreas de construção se necessário."	"With the net tool and Anarchy enabled you can violate the clearance of other networks. Zoning under low bridges can spawn buildings while doing this. This setting gives you some control over the minimum space below a low bridge. It would be better to just remove the zoning."	"启用无碰撞功能后，您可以忽略道路最小高度差的限制。如果您在过于低矮的桥下规划功能区，那么建筑物有可能会穿过桥面生长出来。该设置可以控制桥与地面的最小高度差，当然，最好是不要在桥下规划功能区。"	"With the net tool and Anarchy enabled you can violate the clearance of other networks. Zoning under low bridges can spawn buildings while doing this. This setting gives you some control over the minimum space below a low bridge. It would be better to just remove the zoning."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.PreventOverrideInEditor]"	"Überschreibung im Editor verhindern"	"Prevent Override In Editor"	"Evitar sobrescribir en el editor"	"Empêche le remplacement forcer dans l'éditeur"	"Prevent Override In Editor"	"Prevent Override In Editor"	"에디터에서 덮어쓰기 방지"	"Zapobiegaj nadpisywaniu w edytorze"	"Impedir Substituição no Editor"	"Prevent Override In Editor"	"防止在编辑器中覆盖"	"Prevent Override In Editor"	""
